UC001	Spo2 Probes
UC149	Humidifier Bottle
UC150	O2 Connector / Exhallation Connector
UC151	Head Gear
UC152	Chamber & Tubing of High Flow Hifent
UC153	Hi-Fent HFNO Humidifier 
UC154	Sieve Kit 
UC155	Detachable Battery Module
UC156	Detachable Battery
UC157	
UC158	
UC159	
UC160	Spares - 12%
UC161	Spares - 18%
UC162	Spares - Circuit Board - 12%
UC163	Spares - Circuit Board - 18%
UC164	
UC165	Fatal Dopler
UC166	
UC167	
UC168	
UC169	
UC170	Freight On Purchases
UC171	PC, Laptop & Compures & Mobiles
UC172	Installation of Bionet make Fetal Monitor, Model:FC1400 at Govt. of Maharashtra Hospitals at:
UC173	
UC174	
UC175	
UC176	
UC177	
UC178	
UC179	
UC180	

